Constraint,CapRes_1,CapRes_2,CapRes_3,CapRes_4
t1,28.72937562499986,0.0,0.0,0.0
t2,28.72937562499986,0.0,0.0,0.0
t3,28.72937562499986,0.0,0.0,0.0
t4,28.72937562499986,0.0,0.0,0.0
t5,28.72937562499986,0.0,0.0,0.0
t6,28.729375624999804,0.0,0.0,0.0
t7,28.72937562499986,0.0,0.0,0.0
t8,0.0,0.0,0.0,0.0
t9,0.0,0.0,0.0,0.0
t10,0.0,0.0,0.0,0.0
t11,0.0,0.0,0.0,0.0
t12,0.0,0.0,0.0,0.0
t13,0.0,0.0,0.0,0.0
t14,0.0,0.0,0.0,0.0
t15,0.0,0.0,0.0,0.0
t16,0.0,0.0,0.0,0.0
t17,37.244810173423275,0.0,0.0,0.0
t18,559.1130901475074,0.0,0.0,0.0
t19,559.1130901475074,0.0,0.0,0.0
t20,559.1130901475074,0.0,0.0,0.0
t21,559.1130901475074,0.0,0.0,0.0
t22,559.1130901475052,0.0,0.0,0.0
t23,559.1130901475074,0.0,0.0,0.0
t24,559.1130901475074,0.0,0.0,0.0
t25,0.0,0.0,0.0,0.0
t26,0.0,0.0,0.0,0.0
t27,0.0,0.0,0.0,0.0
t28,0.0,0.0,0.0,0.0
t29,0.0,0.0,0.0,0.0
t30,0.0,0.0,0.0,0.0
t31,0.0,0.0,0.0,0.0
t32,0.0,0.0,0.0,0.0
t33,0.0,0.0,0.0,0.0
t34,0.0,0.0,0.0,0.0
t35,0.0,0.0,0.0,0.0
t36,0.0,0.0,0.0,0.0
t37,0.0,0.0,0.0,0.0
t38,0.0,0.0,0.0,0.0
t39,0.0,0.0,0.0,0.0
t40,0.0,0.0,0.0,0.0
t41,-0.0,0.0,0.0,0.0
t42,0.0,0.0,0.0,0.0
t43,0.0,0.0,0.0,0.0
t44,0.0,0.0,0.0,0.0
t45,0.0,0.0,0.0,0.0
t46,0.0,0.0,0.0,0.0
t47,0.0,0.0,0.0,0.0
t48,0.0,0.0,0.0,0.0
t49,0.0,0.0,0.0,0.0
t50,0.0,0.0,0.0,0.0
t51,0.0,0.0,0.0,0.0
t52,0.0,0.0,0.0,0.0
t53,0.0,0.0,0.0,0.0
t54,0.0,0.0,0.0,0.0
t55,0.0,0.0,0.0,0.0
t56,0.0,0.0,0.0,0.0
