Constraint,CapRes_1,CapRes_2,CapRes_3,CapRes_4
t1,0.0,0.0,0.0,0.0
t2,0.0,0.0,0.0,0.0
t3,0.0,0.0,0.0,0.0
t4,0.0,0.0,0.0,0.0
t5,0.0,0.0,0.0,0.0
t6,0.0,0.0,0.0,0.0
t7,0.0,0.0,0.0,0.0
t8,0.0,0.0,0.0,0.0
t9,0.0,0.0,0.0,0.0
t10,0.0,0.0,0.0,0.0
t11,0.0,0.0,0.0,0.0
t12,0.0,0.0,0.0,0.0
t13,0.0,0.0,0.0,0.0
t14,0.0,0.0,0.0,0.0
t15,0.0,0.0,0.0,0.0
t16,0.0,0.0,0.0,0.0
t17,0.0,0.0,0.0,0.0
t18,0.0,0.0,0.0,0.0
t19,0.0,0.0,0.0,0.0
t20,0.0,0.0,0.0,0.0
t21,0.0,0.0,0.0,0.0
t22,0.0,0.0,0.0,0.0
t23,0.0,0.0,0.0,0.0
t24,0.0,0.0,0.0,0.0
t25,0.0,0.0,0.0,0.0
t26,0.0,0.0,0.0,0.0
t27,0.0,0.0,0.0,0.0
t28,0.0,0.0,0.0,0.0
t29,0.0,0.0,0.0,0.0
t30,0.0,0.0,0.0,0.0
t31,0.0,0.0,0.0,0.0
t32,0.0,0.0,0.0,0.0
t33,0.0,0.0,0.0,0.0
t34,0.0,0.0,0.0,0.0
t35,0.0,0.0,0.0,0.0
t36,0.0,0.0,0.0,0.0
t37,0.0,0.0,0.0,0.0
t38,0.0,0.0,0.0,0.0
t39,0.0,0.0,0.0,0.0
t40,0.0,0.0,0.0,0.0
t41,0.0,0.0,0.0,0.0
t42,0.0,0.0,0.0,0.0
t43,0.0,0.0,0.0,0.0
t44,0.0,0.0,0.0,0.0
t45,0.0,0.0,0.0,0.0
t46,0.0,0.0,0.0,0.0
t47,0.0,0.0,0.0,0.0
t48,0.0,0.0,0.0,0.0
t49,0.0,0.0,0.0,0.0
t50,0.0,0.0,-0.0,0.0
t51,0.0,3.273534200299071,29.250585572595,0.0
t52,0.0,75.75315808374108,101.73020945603699,65.61163239075563
t53,0.0,78.1148882644955,104.09193963679147,67.97336257151014
t54,0.0,78.1148882644955,104.0919396367915,67.97336257151017
t55,0.0,65.86487301985896,73.21654486000077,37.097967794719445
t56,0.0,65.86487301985896,64.11880482347438,28.00022775819299
t57,0.0,65.86487301985896,64.11880482347433,28.00022775819304
t58,0.0,65.86487301985898,64.11880482347435,28.000227758193017
t59,0.0,74.04330637060143,64.11880482347435,28.000227758193017
t60,0.0,74.04330637060146,64.11880482347435,28.00022775819299
t61,0.0,74.04330637060146,64.11880482347433,28.00022775819304
t62,0.0,65.86487301985896,64.11880482347433,28.00022775819304
t63,0.0,65.86487301985896,64.11880482347433,28.00022775819304
t64,0.0,43.999744461926454,54.18415451464285,18.065577449361538
t65,0.0,3.273534200299071,16.54099847850757,0.0
t66,0.0,3.273534200299071,16.54099847850757,0.0
t67,0.0,-0.0,0.0,0.0
t68,0.0,0.0,0.0,0.0
t69,0.0,0.0,0.0,0.0
t70,0.0,0.0,0.0,0.0
t71,0.0,0.0,0.0,0.0
t72,0.0,0.0,0.0,0.0
t73,0.0,0.0,0.0,0.0
t74,0.0,0.0,0.0,0.0
t75,0.0,0.0,0.0,0.0
t76,0.0,0.0,0.0,0.0
t77,0.0,0.0,0.0,0.0
t78,0.0,0.0,0.0,0.0
t79,0.0,0.0,0.0,0.0
t80,0.0,0.0,0.0,0.0
t81,0.0,0.0,0.0,0.0
t82,0.0,0.0,0.0,0.0
t83,0.0,0.0,0.0,0.0
t84,0.0,0.0,0.0,0.0
t85,0.0,0.0,0.0,0.0
t86,0.0,0.0,0.0,0.0
t87,0.0,0.0,0.0,0.0
t88,0.0,0.0,0.0,0.0
t89,0.0,0.0,0.0,0.0
t90,0.0,0.0,0.0,0.0
t91,0.0,0.0,0.0,0.0
t92,0.0,0.0,0.0,0.0
t93,0.0,0.0,0.0,0.0
t94,0.0,0.0,0.0,0.0
t95,0.0,0.0,0.0,0.0
t96,0.0,0.0,0.0,0.0
t97,0.0,42.22690362240087,0.0,0.0
t98,0.0,42.22690362240076,-0.0,0.0
t99,0.0,49.06323914465896,-0.0,0.0
t100,0.0,49.06323914465896,-0.0,0.0
t101,0.0,49.06323914465896,-0.0,0.0
t102,0.0,49.06323914465896,0.0,0.0
t103,0.0,42.22690362240087,0.0,0.0
t104,0.0,0.0,0.0,0.0
t105,0.0,0.0,0.0,0.0
t106,0.0,0.0,0.0,0.0
t107,0.0,0.0,0.0,0.0
t108,0.0,0.0,0.0,0.0
t109,0.0,-0.0,0.0,0.0
t110,0.0,-0.0,0.0,0.0
t111,0.0,-0.0,0.0,0.0
t112,0.0,-0.0,0.0,0.0
t113,0.0,6.6457187663436965,0.0,0.0
t114,0.0,0.5921691437403558,0.0,0.0
t115,0.0,-0.0,0.0,0.0
t116,0.0,-0.0,0.0,0.0
t117,0.0,-0.0,0.0,0.0
t118,0.0,-0.0,0.0,0.0
t119,0.0,-0.0,0.0,0.0
t120,0.0,0.5921691437403637,0.0,0.0
t121,0.0,0.0,0.0,0.0
t122,0.0,0.0,0.0,0.0
t123,0.0,0.0,0.0,0.0
t124,0.0,0.0,0.0,0.0
t125,0.0,0.0,0.0,0.0
t126,0.0,0.0,0.0,0.0
t127,0.0,0.0,0.0,0.0
t128,0.0,0.0,0.0,0.0
t129,0.0,0.0,0.0,0.0
t130,0.0,0.0,0.0,0.0
